Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
Gambit,16,Natus Vincere,5,nuke,264,620,win
Cloud9,8,G2,16,cch,430,242,loss
Astralis,2,mousesports,16,cch,971,639,loss
fnatic,8,FaZe,16,cch,604,839,loss
North,10,Vega Squadron,16,ovp,174,839,loss
Natus Vincere,16,Liquid,5,inf,620,321,win
mousesports,16,Renegades,4,mrg,639,228,win
FaZe,16,Natus Vincere,4,trn,839,620,win
mousesports,5,Cloud9,16,trn,639,430,loss
Renegades,14,Liquid,16,cbl,228,321,loss
Misfits,5,G2,16,cbl,228,242,loss
EnVyUs,6,Renegades,16,cch,83,228,loss
mousesports,16,Natus Vincere,2,mrg,639,620,win
Cloud9,16,EnVyUs,11,cch,430,83,win
FaZe,16,Liquid,14,ovp,839,321,win
Astralis,16,FaZe,13,ovp,971,839,win
FaZe,16,Liquid,12,mrg,839,321,win
Cloud9,11,Astralis,16,trn,430,971,loss
fnatic,16,OpTic,2,cbl,604,971,win
OpTic,16,mousesports,4,mrg,604,639,win
North,15,NiP,19,inf,174,328,loss
SK,16,NiP,9,ovp,331,328,win
North,16,OpTic,11,ovp,174,328,win
fnatic,16,Astralis,7,inf,604,971,win
fnatic,22,Liquid,18,mrg,604,321,win
FaZe,16,Astralis,5,mrg,839,971,win
SK,14,OpTic,16,mrg,331,971,loss
NiP,16,OpTic,14,cbl,328,971,win
North,7,SK,16,ovp,174,331,loss
FaZe,16,Liquid,14,mrg,839,321,win
Astralis,20,Liquid,22,mrg,971,321,loss
fnatic,19,FaZe,15,inf,604,839,win
mousesports,12,EnVyUs,16,trn,639,83,loss
Gambit,31,Natus Vincere,28,inf,264,620,win
Heroic,11,Natus Vincere,16,ovp,105,620,loss
Astralis,16,FaZe,14,inf,971,839,win
North,12,SK,16,mrg,174,331,loss
G2,16,NiP,7,cbl,242,328,win
SK,8,FaZe,16,mrg,331,839,loss
Astralis,16,G2,4,ovp,971,242,win
NiP,16,North,2,trn,328,174,win
Astralis,15,North,15,ovp,971,174,loss
G2,8,FaZe,16,mrg,242,839,loss
NiP,4,SK,16,trn,328,331,loss
FaZe,13,North,16,trn,839,174,loss
Astralis,16,NiP,5,ovp,971,328,win
SK,16,G2,8,cbl,331,242,win
North,15,G2,15,mrg,174,242,loss
FaZe,15,NiP,15,trn,839,328,loss
Astralis,16,SK,3,inf,971,331,win
EnVyUs,15,Virtus.pro,15,trn,83,160,loss
BIG,12,Space Soldiers,16,cch,83,150,loss
EnVyUs,11,mousesports,16,nuke,83,639,loss
mousesports,16,EnVyUs,1,cbl,639,83,win
Heroic,16,EnVyUs,11,inf,105,83,win
Virtus.pro,16,FaZe,7,cbl,160,839,win
FaZe,16,Virtus.pro,8,trn,839,160,win
EnVyUs,9,Heroic,16,nuke,83,105,loss
Liquid,11,Cloud9,16,cch,321,430,loss
Cloud9,19,Liquid,15,mrg,430,321,win
NiP,16,Astralis,14,nuke,328,971,win
Astralis,14,NiP,16,trn,971,328,loss
Cloud9,12,Renegades,16,trn,430,228,loss
Renegades,12,Cloud9,16,cbl,228,430,loss
Virtus.pro,14,fnatic,16,cch,160,604,loss
fnatic,16,Virtus.pro,4,mrg,604,160,win
Virtus.pro,17,NiP,19,cbl,160,328,loss
NiP,16,Virtus.pro,9,cch,328,160,win
G2,14,OpTic,16,ovp,242,160,loss
Renegades,9,Gambit,16,inf,228,264,loss
Liquid,5,FaZe,16,inf,321,839,loss
G2,16,Liquid,9,cch,242,321,win
OpTic,6,Renegades,16,mrg,242,228,loss
OpTic,16,Liquid,10,mrg,242,321,win
FaZe,3,Gambit,16,mrg,839,264,loss
EnVyUs,11,NiP,16,nuke,83,328,loss
Cloud9,16,SK,7,trn,430,331,win
EnVyUs,16,Cloud9,8,cbl,83,430,win
SK,21,Astralis,25,ovp,331,971,loss
mousesports,16,Virtus.pro,5,cbl,639,160,win
NiP,16,Cloud9,4,ovp,328,430,win
Virtus.pro,11,mousesports,16,trn,160,639,loss
G2,22,Gambit,19,ovp,242,264,win
FaZe,16,Renegades,13,trn,839,228,win
Liquid,19,Gambit,16,mrg,321,264,win
G2,9,Renegades,16,cbl,242,228,loss
Liquid,19,Renegades,17,cch,321,228,win
OpTic,3,FaZe,16,ovp,321,839,loss
G2,14,FaZe,16,ovp,242,839,loss
OpTic,16,Gambit,7,trn,242,264,win
EnVyUs,11,Astralis,16,inf,83,971,loss
Cloud9,16,Astralis,6,trn,430,971,win
NiP,13,SK,16,cbl,328,331,loss
EnVyUs,20,SK,22,cbl,83,331,loss
NiP,16,Astralis,11,ovp,328,971,win
Virtus.pro,4,Heroic,16,inf,160,105,loss
Heroic,16,Virtus.pro,14,nuke,105,160,win
Renegades,16,Cloud9,14,mrg,228,430,win
Renegades,12,Liquid,16,trn,228,321,loss
Liquid,4,Renegades,16,cbl,321,228,loss
Natus Vincere,22,FaZe,19,nuke,620,839,win
fnatic,16,G2,11,inf,604,242,win
EnVyUs,16,NiP,12,cbl,83,328,win
Astralis,12,mousesports,16,inf,971,639,loss
BIG,9,North,16,ovp,971,174,loss
NiP,19,EnVyUs,15,trn,328,83,win
mousesports,5,Astralis,16,nuke,639,971,loss
FaZe,16,Natus Vincere,6,ovp,839,620,win
North,16,BIG,8,cbl,174,620,win
G2,9,fnatic,16,cbl,242,604,loss
G2,12,FaZe,16,cch,242,839,loss
FaZe,16,G2,14,mrg,839,242,win
Renegades,16,CLG,3,cbl,228,242,win
CLG,12,Renegades,16,mrg,228,228,loss
Heroic,8,mousesports,16,nuke,105,639,loss
mousesports,16,Heroic,13,mrg,639,105,win
Natus Vincere,16,BIG,12,ovp,620,105,win
Gambit,12,Virtus.pro,16,cch,264,160,loss
BIG,11,Natus Vincere,16,trn,264,620,loss
Heroic,11,North,16,trn,105,174,loss
EnVyUs,9,Astralis,16,nuke,83,971,loss
North,12,Heroic,16,ovp,174,105,loss
Astralis,6,EnVyUs,16,trn,971,83,loss
Heroic,9,NiP,16,nuke,105,328,loss
Gambit,16,Space Soldiers,13,mrg,264,150,win
Astralis,13,FaZe,16,inf,971,839,loss
NiP,25,Heroic,21,ovp,328,105,win
FaZe,10,Astralis,16,mrg,839,971,loss
fnatic,14,mousesports,16,inf,604,639,loss
mousesports,14,fnatic,16,mrg,639,604,loss
Astralis,19,Natus Vincere,15,inf,971,620,win
fnatic,16,FaZe,12,cch,604,839,win
FaZe,7,fnatic,16,mrg,839,604,loss
Natus Vincere,4,Astralis,16,nuke,620,971,loss
G2,16,Astralis,11,nuke,242,971,win
Astralis,12,G2,16,ovp,971,242,loss
Cloud9,13,Liquid,16,mrg,430,321,loss
Liquid,2,Cloud9,16,cbl,321,430,loss
Heroic,6,Astralis,16,inf,105,971,loss
Astralis,16,Heroic,3,trn,971,105,win
BIG,13,EnVyUs,16,cch,971,83,loss
EnVyUs,16,BIG,4,trn,83,83,win
NiP,16,G2,5,ovp,328,242,win
G2,8,NiP,16,cbl,242,328,loss
mousesports,25,Astralis,22,mrg,639,971,win
Astralis,16,mousesports,14,inf,971,639,win
G2,16,fnatic,13,cbl,242,604,win
fnatic,16,G2,12,inf,604,242,win
Cloud9,16,SK,2,mrg,430,331,win
SK,14,Cloud9,16,cbl,331,430,loss
Astralis,16,fnatic,10,mrg,971,604,win
fnatic,16,Astralis,8,trn,604,971,win
mousesports,9,G2,16,inf,639,242,loss
G2,14,mousesports,16,cbl,242,639,loss
fnatic,13,FaZe,16,trn,604,839,loss
FaZe,14,fnatic,16,mrg,839,604,loss
EnVyUs,8,NiP,16,trn,83,328,loss
NiP,11,EnVyUs,16,cch,328,83,loss
NiP,16,mousesports,13,cch,328,639,win
mousesports,16,NiP,8,mrg,639,328,win
Cloud9,16,CLG,14,inf,430,328,win
CLG,8,Cloud9,16,cbl,430,430,loss
EnVyUs,4,G2,16,cch,83,242,loss
G2,16,EnVyUs,2,cbl,242,83,win
fnatic,16,NiP,9,mrg,604,328,win
NiP,14,fnatic,16,ovp,328,604,loss
FaZe,7,EnVyUs,16,trn,839,83,loss
EnVyUs,16,FaZe,19,cch,83,839,loss
SK,15,Liquid,19,trn,331,321,loss
Liquid,16,SK,4,inf,321,331,win
mousesports,4,FaZe,16,cch,639,839,loss
FaZe,12,mousesports,16,inf,839,639,loss
fnatic,16,EnVyUs,11,inf,604,83,win
EnVyUs,5,fnatic,16,trn,83,604,loss
Heroic,13,G2,16,inf,105,242,loss
G2,16,Heroic,8,nuke,242,105,win
NiP,12,FaZe,16,trn,328,839,loss
FaZe,16,NiP,8,mrg,839,328,win
Virtus.pro,7,Astralis,16,trn,160,971,loss
Astralis,16,Virtus.pro,8,mrg,971,160,win
Liquid,16,Renegades,14,cbl,321,228,win
mousesports,10,BIG,16,trn,639,228,loss
Cloud9,16,Renegades,1,trn,430,228,win
CLG,14,Renegades,16,cbl,430,228,loss
fnatic,16,Heroic,14,mrg,604,105,win
Heroic,4,fnatic,16,trn,105,604,loss
EnVyUs,14,Astralis,16,inf,83,971,loss
Astralis,16,EnVyUs,11,trn,971,83,win
EnVyUs,10,Heroic,16,inf,83,105,loss
Heroic,9,EnVyUs,16,nuke,105,83,loss
Astralis,10,HellRaisers,16,ovp,971,154,loss
HellRaisers,10,Astralis,16,mrg,154,971,loss
Renegades,16,Cloud9,11,cbl,228,430,win
Cloud9,16,Renegades,7,mrg,430,228,win
North,17,Natus Vincere,19,nuke,174,620,loss
BIG,12,G2,16,ovp,174,242,loss
G2,14,BIG,16,cbl,242,242,loss
Natus Vincere,8,North,16,ovp,620,174,loss
North,19,fnatic,16,cbl,174,604,win
Heroic,14,G2,16,nuke,105,242,loss
fnatic,17,North,19,mrg,604,174,loss
G2,16,Heroic,10,inf,242,105,win
BIG,7,NiP,16,cch,242,328,loss
NiP,16,BIG,4,mrg,328,328,win
Renegades,16,SK,14,cch,228,331,win
SK,16,Renegades,14,cbl,331,228,win
CLG,10,Liquid,16,mrg,331,321,loss
Liquid,16,CLG,14,inf,321,321,win
Virtus.pro,10,G2,16,cch,160,242,loss
G2,8,Virtus.pro,16,inf,242,160,loss
CLG,11,SK,16,inf,242,331,loss
SK,16,CLG,11,mrg,331,331,win
EnVyUs,16,Heroic,8,nuke,83,105,win
NiP,10,Heroic,16,inf,328,105,loss
HellRaisers,14,Space Soldiers,16,cbl,154,150,loss
mousesports,16,EnVyUs,10,cbl,639,83,win
Heroic,4,NiP,16,inf,105,328,loss
EnVyUs,16,mousesports,11,cch,83,639,win
NiP,16,Heroic,14,ovp,328,105,win
FaZe,12,Heroic,16,ovp,839,105,loss
Heroic,4,FaZe,16,inf,105,839,loss
Renegades,13,SK,16,cbl,228,331,loss
SK,16,Renegades,7,mrg,331,228,win
Astralis,8,fnatic,16,trn,971,604,loss
fnatic,16,Astralis,4,mrg,604,971,win
Natus Vincere,11,mousesports,16,inf,620,639,loss
Virtus.pro,4,EnVyUs,16,inf,160,83,loss
mousesports,16,Natus Vincere,12,cbl,639,620,win
EnVyUs,14,Virtus.pro,16,nuke,83,160,loss
Astralis,19,FaZe,15,ovp,971,839,win
mousesports,13,Heroic,16,mrg,639,105,loss
FaZe,16,Astralis,14,mrg,839,971,win
Heroic,12,mousesports,16,nuke,105,639,loss
HellRaisers,17,fnatic,19,inf,154,604,loss
Natus Vincere,14,G2,16,nuke,620,242,loss
Heroic,4,FaZe,16,inf,105,839,loss
G2,19,Natus Vincere,16,ovp,242,620,win
fnatic,10,HellRaisers,16,mrg,604,154,loss
FaZe,16,Heroic,7,ovp,839,105,win
mousesports,6,NiP,16,nuke,639,328,loss
NiP,2,mousesports,16,inf,328,639,loss
HellRaisers,16,FaZe,12,cch,154,839,win
Astralis,16,North,10,inf,971,174,win
North,10,Astralis,16,mrg,174,971,loss
FaZe,10,HellRaisers,16,inf,839,154,loss
Cloud9,9,SK,16,mrg,430,331,loss
SK,16,Cloud9,11,cbl,331,430,win
North,4,FaZe,16,inf,174,839,loss
FaZe,12,North,16,mrg,839,174,loss
BIG,6,Astralis,16,inf,839,971,loss
Astralis,16,BIG,19,ovp,971,971,loss
BIG,7,mousesports,16,trn,971,639,loss
NiP,16,fnatic,4,cch,328,604,win
mousesports,22,BIG,20,cbl,639,604,win
fnatic,17,NiP,19,mrg,604,328,loss
EnVyUs,16,G2,13,inf,83,242,win
G2,9,EnVyUs,16,cbl,242,83,loss
Astralis,16,Heroic,2,trn,971,105,win
SK,5,Heroic,16,trn,331,105,loss
Astralis,16,Liquid,11,ovp,971,321,win
FaZe,16,NiP,7,mrg,839,328,win
NiP,16,FaZe,6,cbl,328,839,win
NiP,16,G2,13,ovp,328,242,win
G2,14,NiP,16,nuke,242,328,loss
EnVyUs,16,Natus Vincere,14,cbl,83,620,win
fnatic,16,mousesports,10,cch,604,639,win
Natus Vincere,16,EnVyUs,5,trn,620,83,win
mousesports,1,fnatic,16,trn,639,604,loss
SK,16,CLG,7,ovp,331,604,win
CLG,16,SK,3,cch,331,331,win
Heroic,16,fnatic,19,inf,105,604,loss
mousesports,14,North,16,mrg,639,174,loss
fnatic,16,Heroic,13,mrg,604,105,win
North,16,mousesports,12,cbl,174,639,win
Natus Vincere,13,HellRaisers,16,inf,620,154,loss
HellRaisers,16,Natus Vincere,5,ovp,154,620,win
EnVyUs,2,Cloud9,16,trn,83,430,loss
Cloud9,16,NiP,6,mrg,430,328,win
Virtus.pro,6,EnVyUs,16,cbl,160,83,loss
Immortals,20,North,22,cbl,160,174,loss
North,16,fnatic,14,mrg,174,604,win
mousesports,8,Immortals,16,cbl,639,604,loss
FaZe,16,Astralis,6,inf,839,971,win
SK,16,Cloud9,5,trn,331,430,win
Cloud9,16,Natus Vincere,13,inf,430,620,win
Astralis,16,Liquid,13,mrg,971,321,win
SK,16,EnVyUs,12,cbl,331,83,win
FaZe,16,Virtus.pro,5,cch,839,160,win
Heroic,1,BIG,16,ovp,105,160,loss
BIG,19,Heroic,15,trn,105,105,win
FaZe,16,Natus Vincere,6,inf,839,620,win
Cloud9,13,Immortals,16,cch,430,620,loss
G2,10,Natus Vincere,16,inf,242,620,loss
FaZe,16,Renegades,9,mrg,839,228,win
Gambit,12,SK,16,ovp,264,331,loss
fnatic,16,EnVyUs,9,cch,604,83,win
EnVyUs,10,fnatic,16,cbl,83,604,loss
SK,19,mousesports,15,inf,331,639,win
NiP,16,HellRaisers,6,trn,328,154,win
Gambit,16,Heroic,7,mrg,264,105,win
HellRaisers,5,NiP,16,inf,154,328,loss
Liquid,10,Virtus.pro,16,mrg,321,160,loss
Virtus.pro,16,EnVyUs,6,trn,160,83,win
Liquid,16,BIG,14,ovp,321,83,win
Cloud9,16,Immortals,3,trn,430,83,win
Immortals,16,Cloud9,5,inf,430,430,win
North,16,HellRaisers,9,cbl,174,154,win
HellRaisers,16,North,9,ovp,154,174,win
NiP,14,Astralis,16,nuke,328,971,loss
Astralis,16,NiP,6,inf,971,328,win
mousesports,16,HellRaisers,4,mrg,639,154,win
Heroic,16,EnVyUs,9,inf,105,83,win
mousesports,9,FaZe,16,mrg,639,839,loss
fnatic,16,EnVyUs,13,cbl,604,83,win
G2,16,EnVyUs,13,inf,242,83,win
FaZe,8,NiP,16,nuke,839,328,loss
Gambit,16,mousesports,6,trn,264,639,win
Immortals,16,fnatic,14,cbl,264,604,win
Cloud9,10,North,16,inf,430,174,loss
Virtus.pro,4,Natus Vincere,16,inf,160,620,loss
NiP,16,Natus Vincere,13,mrg,328,620,win
Natus Vincere,16,NiP,9,trn,620,328,win
mousesports,25,G2,22,cch,639,242,win
G2,16,mousesports,7,cbl,242,639,win
NiP,12,North,16,inf,328,174,loss
North,16,NiP,5,nuke,174,328,win
fnatic,5,Natus Vincere,16,mrg,604,620,loss
Natus Vincere,9,fnatic,16,ovp,620,604,loss
Heroic,16,Natus Vincere,14,inf,105,620,win
EnVyUs,13,North,16,cbl,83,174,loss
Natus Vincere,10,Heroic,16,ovp,620,105,loss
North,16,EnVyUs,6,nuke,174,83,win
FaZe,16,EnVyUs,7,nuke,839,83,win
EnVyUs,12,FaZe,16,trn,83,839,loss
PENTA,5,FlipSid3,16,trn,83,839,loss
SK,16,Immortals,12,trn,331,839,win
Immortals,16,SK,8,cbl,331,331,win
FaZe,10,BIG,16,trn,839,331,loss
