Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
FaZe,13,North,16,cch,54.6,451,280
Virtus.pro,2,fnatic,16,inf,,451,183
fnatic,13,Astralis,16,mrg,61.4,183,1000
SK,8,G2,16,ovp,,183,67
NiP,16,Virtus.pro,5,nuke,77.2,352,67
Natus Vincere,16,North,11,inf,53.9,558,280
Gambit,13,FaZe,16,cch,52.5,60,451
Virtus.pro,2,SK,16,mrg,,60,451
fnatic,9,Natus Vincere,16,ovp,54.8,183,558
G2,16,HellRaisers,2,cbl,55.7,67,129
Astralis,16,North,19,inf,71.9,1000,280
FaZe,16,Immortals,10,mrg,62.8,451,280
NiP,6,G2,16,inf,60.3,352,67
Gambit,8,fnatic,16,inf,54,60,183
FaZe,10,HellRaisers,16,cch,54.6,451,129
North,16,Immortals,3,cbl,60.9,280,129
G2,16,LDLC,5,inf,51.2,67,158
FaZe,16,fnatic,13,trn,57.5,451,183
LDLC,12,G2,16,nuke,54.6,158,67
fnatic,16,FaZe,10,ovp,54.8,183,451
North,16,HellRaisers,10,mrg,60,280,129
HellRaisers,16,North,13,cch,60,129,280
Kinguin,9,Astralis,16,cch,55.6,65,1000
Astralis,16,Kinguin,7,ovp,66.7,1000,65
Natus Vincere,8,NiP,16,cbl,53.6,558,352
NiP,12,Natus Vincere,16,ovp,57,352,558
G2,16,fnatic,5,trn,47,67,183
Cloud9,16,OpTic,6,trn,67.6,84,156
OpTic,11,Cloud9,16,nuke,61.5,156,84
OpTic,7,SK,16,inf,58.7,156,84
SK,14,OpTic,16,trn,,156,156
Heroic,12,mousesports,16,cbl,53.4,117,341
mousesports,4,Heroic,16,nuke,57,341,117
HellRaisers,16,Natus Vincere,11,mrg,49.5,129,558
Natus Vincere,16,HellRaisers,5,inf,53.9,558,129
HellRaisers,16,Kinguin,4,cch,60,129,65
G2,19,Kinguin,16,cbl,55.7,67,65
Astralis,9,FaZe,16,nuke,75.7,1000,451
FaZe,14,Astralis,16,inf,62.3,451,1000
Kinguin,8,G2,16,cch,55.6,65,67
Heroic,10,North,16,mrg,55,117,280
mousesports,11,Virtus.pro,16,nuke,57,341,280
North,19,Heroic,16,ovp,57.8,280,117
Virtus.pro,16,mousesports,5,inf,,280,341
Virtus.pro,10,HellRaisers,16,ovp,,280,129
HellRaisers,16,Virtus.pro,10,mrg,49.5,129,129
North,16,Natus Vincere,19,mrg,60,280,558
Natus Vincere,4,North,16,cbl,53.6,558,280
fnatic,14,NiP,16,inf,67.2,183,352
NiP,16,fnatic,7,cch,60.1,352,183
G2,9,HellRaisers,16,ovp,50.5,67,129
Natus Vincere,16,FaZe,6,mrg,63,558,451
HellRaisers,19,G2,15,inf,54.8,129,67
GODSENT,14,Gambit,16,ovp,,129,60
FaZe,9,Natus Vincere,16,trn,57.5,451,558
Heroic,7,Astralis,16,inf,44,117,1000
fnatic,16,Natus Vincere,12,mrg,61.4,183,558
Astralis,16,Heroic,10,nuke,75.7,1000,117
Natus Vincere,16,fnatic,7,trn,65,558,183
Kinguin,14,NiP,16,trn,54.4,65,352
Astralis,16,North,11,nuke,75.7,1000,280
NiP,16,Kinguin,12,cch,60.1,352,65
North,16,Astralis,4,ovp,57.8,280,1000
HellRaisers,16,Heroic,6,trn,49,129,117
Virtus.pro,16,fnatic,5,mrg,,129,183
Heroic,16,HellRaisers,12,mrg,55,117,129
fnatic,16,Virtus.pro,2,trn,58,183,129
NiP,9,FaZe,16,ovp,57,352,451
mousesports,16,North,5,inf,49.1,341,280
North,8,mousesports,16,mrg,60,280,341
FaZe,16,NiP,9,nuke,62.8,451,352
Astralis,15,Virtus.pro,19,nuke,75.7,1000,352
Virtus.pro,16,Astralis,8,inf,,1000,1000
North,16,G2,10,inf,57.6,280,67
G2,13,North,16,nuke,62.1,67,280
Cloud9,8,Immortals,16,cbl,64.4,84,280
Immortals,9,Cloud9,16,trn,,84,84
G2,13,Heroic,16,ovp,50.5,67,117
Heroic,13,G2,16,trn,49.6,117,67
Heroic,16,Virtus.pro,14,nuke,66.3,117,67
Cloud9,6,Natus Vincere,16,mrg,62.4,84,558
North,8,SK,16,cbl,60.9,280,558
Cloud9,12,North,16,cbl,64.4,84,280
Natus Vincere,12,Heroic,16,ovp,64.3,558,117
SK,14,Virtus.pro,16,inf,,558,117
Natus Vincere,12,North,16,cbl,53.6,558,280
Cloud9,4,Virtus.pro,16,mrg,62.4,84,280
SK,16,Heroic,5,mrg,,84,117
North,16,Virtus.pro,13,cbl,60.9,280,117
Cloud9,16,Heroic,7,cbl,64.4,84,117
North,17,Heroic,19,nuke,58.3,280,117
Natus Vincere,16,SK,12,ovp,64.3,558,117
Cloud9,16,SK,9,nuke,52.9,84,117
Natus Vincere,16,Virtus.pro,9,trn,65,558,117
OpTic,13,NiP,16,inf,58.7,156,352
FaZe,8,Astralis,16,trn,57.5,451,1000
OpTic,12,FaZe,16,trn,52.1,156,451
Astralis,19,fnatic,17,inf,71.9,1000,183
NiP,6,FaZe,16,cch,60.1,352,451
OpTic,10,fnatic,16,trn,52.1,156,183
NiP,24,Astralis,28,ovp,57,352,1000
FaZe,16,fnatic,11,trn,57.5,451,183
OpTic,12,Astralis,16,trn,52.1,156,1000
NiP,14,fnatic,16,cch,60.1,352,183
Kinguin,14,mousesports,16,cbl,57.4,65,341
mousesports,16,Kinguin,5,nuke,57,341,65
OpTic,16,Immortals,5,ovp,59.3,156,65
Immortals,16,OpTic,6,cbl,,156,156
fnatic,16,G2,14,cbl,65.2,183,67
GODSENT,13,FlipSid3,16,cch,,183,67
FaZe,10,mousesports,16,mrg,62.8,451,341
SK,16,Cloud9,6,ovp,,451,84
Virtus.pro,10,Gambit,16,cbl,,451,60
Astralis,16,OpTic,9,nuke,75.7,1000,156
Natus Vincere,12,mousesports,16,cbl,53.6,558,341
NiP,14,Cloud9,16,ovp,57,352,84
fnatic,8,Gambit,16,inf,67.2,183,60
North,11,OpTic,16,inf,57.6,280,156
Gambit,16,FlipSid3,2,d2,undefined,60,156
Kinguin,9,Virtus.pro,16,cbl,57.4,65,156
Gambit,19,Space Soldiers,15,nuke,54.5,60,156
Virtus.pro,15,Kinguin,19,ovp,,60,65
fnatic,12,North,16,ovp,54.8,183,280
North,16,fnatic,5,mrg,60,280,183
mousesports,16,NiP,10,trn,54.4,341,352
Virtus.pro,16,Natus Vincere,8,cbl,,341,558
FlipSid3,16,Space Soldiers,12,nuke,,341,558
Natus Vincere,16,Virtus.pro,10,trn,65,558,558
NiP,8,mousesports,16,d2,undefined,352,341
SK,16,Immortals,7,cbl,,352,341
Immortals,11,SK,16,cch,,352,341
mousesports,11,Astralis,16,nuke,57,341,1000
Kinguin,16,FaZe,8,d2,undefined,65,451
Astralis,8,mousesports,16,mrg,69.7,1000,341
FaZe,6,Kinguin,16,ovp,61.2,451,65
Astralis,16,Natus Vincere,4,nuke,75.7,1000,558
Natus Vincere,16,Astralis,11,ovp,64.3,558,1000
Liquid,3,Astralis,16,mrg,56.7,455,1000
FaZe,16,Envy,11,nuke,62.8,451,1000
North,19,GODSENT,17,ovp,57.8,280,1000
Gambit,16,FaZe,14,ovp,58.1,60,451
SK,19,Astralis,17,d2,,60,1000
GODSENT,16,OpTic,8,cch,,60,156
mousesports,4,Liquid,16,nuke,57,341,455
Envy,11,fnatic,16,cbl,,341,183
North,16,G2,9,ovp,57.8,280,67
FlipSid3,13,OpTic,16,trn,,280,156
Liquid,18,FaZe,22,nuke,39.2,455,451
SK,3,Natus Vincere,16,d2,,455,558
Astralis,16,G2,5,trn,63.6,1000,67
Gambit,10,Virtus.pro,16,trn,51.8,60,67
North,19,HellRaisers,15,mrg,60,280,129
GODSENT,3,Envy,16,cch,,280,129
fnatic,16,mousesports,11,d2,undefined,183,341
Virtus.pro,16,G2,14,nuke,,183,67
GODSENT,9,Gambit,16,ovp,,183,60
OpTic,12,Astralis,16,trn,52.1,156,1000
North,13,fnatic,16,cbl,60.9,280,183
FlipSid3,14,Liquid,16,ovp,,280,455
FaZe,17,SK,19,mrg,62.8,451,455
Natus Vincere,16,Envy,6,cbl,53.6,558,455
mousesports,16,HellRaisers,7,cch,60.5,341,129
FlipSid3,9,FaZe,16,nuke,,341,451
Astralis,6,GODSENT,16,trn,63.6,1000,451
Liquid,21,Envy,25,cch,66.9,455,451
Natus Vincere,16,mousesports,3,cbl,53.6,558,341
Virtus.pro,16,OpTic,13,cbl,,558,156
SK,16,HellRaisers,7,mrg,,558,129
fnatic,10,G2,16,cch,62.6,183,67
Gambit,16,North,8,cbl,50,60,280
Cloud9,13,HellRaisers,16,ovp,57,84,129
Immortals,17,G2,19,cch,,84,67
mousesports,16,Immortals,3,cch,60.5,341,67
Dignitas,16,G2,9,nuke,,341,67
OpTic,16,HellRaisers,10,trn,52.1,156,129
FaZe,16,Immortals,11,mrg,62.8,451,129
NiP,9,OpTic,16,ovp,57,352,156
Cloud9,16,Renegades,9,mrg,62.4,84,109
GODSENT,16,HellRaisers,11,trn,,84,129
FaZe,16,OpTic,11,ovp,61.2,451,156
GODSENT,16,Dignitas,11,mrg,,451,156
G2,16,Envy,12,d2,undefined,67,156
NiP,17,HellRaisers,19,ovp,57,352,129
G2,11,GODSENT,16,ovp,50.5,67,129
mousesports,6,HellRaisers,16,trn,54.4,341,129
NiP,16,Renegades,9,d2,undefined,352,109
FaZe,19,Cloud9,17,mrg,62.8,451,84
Envy,11,Immortals,16,cbl,,451,84
Dignitas,3,Envy,16,nuke,,451,84
Immortals,19,Envy,22,cch,,451,84
SK,7,Dignitas,16,ovp,,451,84
Astralis,16,FaZe,3,d2,undefined,1000,451
FaZe,16,Cloud9,6,mrg,62.8,451,84
Astralis,16,OpTic,7,d2,undefined,1000,156
mousesports,16,NiP,7,d2,undefined,341,352
NiP,16,mousesports,9,trn,68.3,352,341
Envy,13,NiP,16,cch,,352,352
NiP,12,Envy,16,nuke,77.2,352,352
GODSENT,7,Astralis,16,mrg,,352,1000
Astralis,16,GODSENT,3,d2,undefined,1000,1000
GODSENT,16,FaZe,7,mrg,,1000,451
FaZe,16,GODSENT,8,d2,undefined,451,451
Astralis,16,G2,2,ovp,66.7,1000,67
G2,17,Astralis,19,ovp,50.5,67,1000
Dignitas,11,mousesports,16,cbl,,67,341
mousesports,16,Dignitas,9,mrg,61.8,341,341
fnatic,9,G2,16,d2,undefined,183,67
G2,16,fnatic,9,ovp,50.5,67,183
NiP,16,G2,9,nuke,77.2,352,67
G2,16,NiP,4,cch,56.2,67,352
NiP,11,Astralis,16,cch,60.1,352,1000
Astralis,16,NiP,9,ovp,66.7,1000,352
Dignitas,16,G2,6,nuke,,1000,67
G2,14,Dignitas,16,nuke,62.1,67,67
Virtus.pro,11,Astralis,16,nuke,,67,1000
Astralis,16,Virtus.pro,4,trn,63.6,1000,1000
OpTic,10,Gambit,16,cbl,55.2,156,60
mousesports,10,G2,16,d2,undefined,341,67
G2,12,mousesports,16,d2,undefined,67,341
mousesports,14,Envy,16,d2,undefined,341,341
Envy,16,mousesports,14,cch,,341,341
FaZe,11,NiP,16,trn,57.5,451,352
NiP,4,FaZe,16,cch,60.1,352,451
FaZe,16,G2,2,ovp,61.2,451,67
G2,20,FaZe,22,cch,56.2,67,451
Virtus.pro,16,Envy,14,mrg,,67,451
Envy,16,Virtus.pro,5,cbl,,67,451
Astralis,19,fnatic,15,trn,63.6,1000,183
fnatic,8,Astralis,16,d2,undefined,183,1000
Virtus.pro,2,G2,16,trn,,183,67
G2,16,Virtus.pro,7,ovp,50.5,67,67
GODSENT,11,Virtus.pro,16,mrg,,67,67
Virtus.pro,5,GODSENT,16,ovp,,67,67
fnatic,3,Dignitas,16,ovp,54.8,183,67
Envy,12,Dignitas,16,cbl,,183,67
fnatic,19,OpTic,17,cch,62.6,183,156
Heroic,12,Cloud9,16,mrg,55,117,84
SK,16,NiP,9,cbl,,117,352
mousesports,7,FaZe,16,trn,54.4,341,451
FaZe,16,SK,11,nuke,62.8,451,451
Cloud9,16,mousesports,10,cbl,64.4,84,341
Heroic,8,NiP,16,nuke,66.3,117,352
Cloud9,10,SK,16,d2,undefined,84,352
Heroic,16,mousesports,11,cbl,53.4,117,341
FaZe,16,NiP,5,ovp,61.2,451,352
Cloud9,14,NiP,16,trn,67.6,84,352
mousesports,10,SK,16,d2,undefined,341,352
Heroic,3,FaZe,16,trn,49.6,117,451
mousesports,8,NiP,16,ovp,52.8,341,352
Heroic,16,SK,13,cbl,53.4,117,352
Cloud9,17,FaZe,19,mrg,62.4,84,451
Liquid,17,G2,19,nuke,39.2,455,67
Natus Vincere,15,Immortals,19,mrg,63,558,67
Astralis,16,TYLOO,9,mrg,69.7,1000,88
Immortals,15,Astralis,19,d2,,1000,1000
TYLOO,6,Liquid,16,mrg,75.4,88,455
Natus Vincere,16,G2,10,ovp,64.3,558,67
Immortals,16,Liquid,14,cch,,558,455
Natus Vincere,9,Astralis,16,trn,65,558,1000
TYLOO,3,G2,16,ovp,65.8,88,67
Astralis,16,Liquid,1,trn,63.6,1000,455
Immortals,16,G2,4,cbl,,1000,67
Natus Vincere,16,TYLOO,14,ovp,64.3,558,88
Astralis,12,G2,16,nuke,75.7,1000,67
Immortals,19,TYLOO,17,mrg,,1000,88
Natus Vincere,6,Liquid,16,nuke,46.6,558,455
GODSENT,16,fnatic,11,trn,,558,183
fnatic,6,GODSENT,16,trn,58,183,183
OpTic,4,Cloud9,16,trn,52.1,156,84
Cloud9,16,OpTic,11,trn,67.6,84,156
Virtus.pro,16,mousesports,8,cbl,,84,341
mousesports,9,Virtus.pro,16,mrg,61.8,341,341
Cloud9,16,TYLOO,0,d2,undefined,84,88
Immortals,19,FaZe,17,cch,,84,451
Cloud9,16,FlipSid3,4,ovp,57,84,451
SK,13,Astralis,16,ovp,,84,1000
Natus Vincere,10,SK,16,trn,65,558,1000
Envy,16,OpTic,8,nuke,,558,156
Envy,16,G2,9,nuke,,558,67
Dignitas,16,GODSENT,7,mrg,,558,67
GODSENT,9,Dignitas,16,cbl,,558,67
GODSENT,16,mousesports,11,mrg,,558,341
mousesports,16,GODSENT,11,d2,undefined,341,341
mousesports,11,FaZe,16,d2,undefined,341,451
FaZe,14,mousesports,16,ovp,61.2,451,341
G2,16,Envy,9,cch,56.2,67,341
Virtus.pro,16,NiP,12,cbl,,67,352
NiP,16,Virtus.pro,14,ovp,57,352,352
GODSENT,20,NiP,22,d2,,352,352
NiP,16,GODSENT,5,cbl,57.8,352,352
Dignitas,9,NiP,16,cbl,,352,352
NiP,13,Dignitas,16,d2,undefined,352,352
FaZe,7,fnatic,16,mrg,62.8,451,183
fnatic,16,FaZe,13,trn,58,183,451
Dignitas,17,fnatic,19,ovp,,183,183
fnatic,19,Dignitas,16,d2,undefined,183,183
FaZe,16,Astralis,9,mrg,62.8,451,1000
Astralis,16,FaZe,13,ovp,66.7,1000,451
SK,16,Cloud9,7,trn,,1000,84
Cloud9,11,SK,16,trn,67.6,84,84
SK,16,OpTic,8,trn,,84,156
OpTic,16,SK,13,cbl,55.2,156,156
Envy,11,FaZe,16,cch,,156,451
FaZe,7,Envy,16,mrg,62.8,451,451
Dignitas,16,Astralis,2,ovp,,451,1000
Astralis,12,Dignitas,16,ovp,66.7,1000,1000
Virtus.pro,16,NiP,7,cbl,,1000,352
NiP,16,G2,5,ovp,57,352,67
mousesports,12,Astralis,16,mrg,61.8,341,1000
Astralis,16,mousesports,4,mrg,69.7,1000,341
Envy,16,Astralis,8,d2,,1000,1000
Astralis,4,Envy,16,nuke,75.7,1000,1000
OpTic,16,Liquid,13,cbl,55.2,156,455
Liquid,16,OpTic,14,nuke,39.2,455,156
Cloud9,16,Dignitas,13,mrg,62.4,84,156
NiP,16,FaZe,7,ovp,57,352,451
NiP,9,Cloud9,16,d2,undefined,352,84
SK,16,Dignitas,7,cbl,,352,84
mousesports,16,Envy,9,cch,60.5,341,84
Immortals,14,Liquid,16,mrg,,341,455
OpTic,5,Envy,16,cbl,55.2,156,455
Immortals,16,mousesports,14,mrg,,156,341
SK,16,Cloud9,6,d2,,156,84
FaZe,16,Dignitas,7,mrg,62.8,451,84
SK,16,FaZe,2,ovp,,451,451
mousesports,16,OpTic,10,cch,60.5,341,156
Envy,16,Liquid,4,d2,,341,455
Immortals,4,OpTic,16,cbl,,341,156
NiP,14,Dignitas,16,nuke,77.2,352,156
SK,10,NiP,16,cbl,,352,352
Cloud9,16,FaZe,14,d2,undefined,84,451
mousesports,16,Liquid,12,mrg,61.8,341,455
Immortals,5,Envy,16,cbl,,341,455
OpTic,16,Liquid,2,trn,52.1,156,455
mousesports,19,Cloud9,16,d2,undefined,341,84
Cloud9,16,FaZe,7,trn,67.6,84,451
mousesports,16,Immortals,9,mrg,61.8,341,451
fnatic,16,Virtus.pro,13,mrg,61.4,183,451
Virtus.pro,16,fnatic,11,cbl,,183,183
NiP,3,Natus Vincere,16,ovp,57,352,558
Natus Vincere,11,NiP,16,nuke,46.6,558,352
Dignitas,12,G2,16,ovp,,558,67
G2,14,Dignitas,16,d2,undefined,67,67
fnatic,16,SK,5,mrg,61.4,183,67
SK,16,fnatic,9,trn,,183,183
G2,16,Natus Vincere,11,cbl,55.7,67,558
Natus Vincere,16,G2,9,trn,65,558,67
Dignitas,16,NiP,12,nuke,,558,352
NiP,16,Dignitas,12,cbl,57.8,352,352
NiP,9,G2,16,cch,60.1,352,67
G2,11,NiP,16,cbl,55.7,67,352
Dignitas,9,Natus Vincere,16,nuke,,67,558
Natus Vincere,6,Dignitas,16,mrg,63,558,558
SK,12,Virtus.pro,16,cbl,,558,558
Virtus.pro,16,SK,9,mrg,,558,558
Immortals,16,Liquid,2,cbl,,558,455
Liquid,1,Immortals,16,trn,56.1,455,455
GODSENT,16,Envy,5,mrg,,455,455
Envy,11,GODSENT,16,cch,,455,455
Virtus.pro,12,FaZe,16,ovp,,455,451
FaZe,16,Virtus.pro,6,trn,57.5,451,451
Envy,16,fnatic,4,cbl,,451,183
fnatic,5,Envy,16,d2,undefined,183,183
Dignitas,14,Envy,16,mrg,,183,183
Envy,7,Dignitas,16,cbl,,183,183
Virtus.pro,7,fnatic,16,cbl,,183,183
fnatic,12,Virtus.pro,16,cch,62.6,183,183
Virtus.pro,12,G2,16,cch,,183,67
Envy,16,Dignitas,9,cbl,,183,67
mousesports,16,Astralis,2,trn,54.4,341,1000
FlipSid3,16,FaZe,7,mrg,,341,451
Heroic,7,Natus Vincere,16,ovp,53.9,117,558
Astralis,16,mousesports,10,mrg,69.7,1000,341
G2,16,Virtus.pro,19,trn,47,67,341
FaZe,16,FlipSid3,14,trn,57.5,451,341
Dignitas,12,Envy,16,d2,,451,341
Natus Vincere,4,Heroic,16,cbl,53.6,558,117
SK,16,Liquid,9,trn,,558,455
Liquid,16,SK,9,d2,undefined,455,455
Natus Vincere,15,FaZe,19,d2,undefined,558,451
FaZe,25,Natus Vincere,23,mrg,62.8,451,558
Heroic,16,Envy,10,cbl,53.4,117,558
FlipSid3,9,fnatic,16,trn,,117,183
GODSENT,10,G2,16,trn,,117,67
Envy,16,Heroic,7,nuke,,117,117
fnatic,16,FlipSid3,2,cbl,65.2,183,117
G2,9,GODSENT,16,ovp,50.5,67,117
Envy,10,Natus Vincere,16,mrg,,67,558
Dignitas,8,Virtus.pro,16,cbl,,67,558
Natus Vincere,17,Envy,19,cbl,53.6,558,558
Virtus.pro,16,Dignitas,5,cbl,,558,558
OpTic,15,SK,19,trn,52.1,156,558
SK,16,OpTic,8,cbl,,156,156
G2,16,Astralis,14,d2,undefined,67,1000
Dignitas,10,FaZe,16,ovp,,67,451
Astralis,4,G2,16,d2,undefined,1000,67
FaZe,16,Dignitas,14,mrg,62.8,451,67
Heroic,12,fnatic,16,trn,49.6,117,183
fnatic,16,Heroic,14,cbl,65.2,183,117
mousesports,16,FlipSid3,9,cbl,51.1,341,117
FlipSid3,4,mousesports,16,mrg,,341,341
Immortals,9,SK,16,ovp,,341,341
SK,16,Immortals,12,trn,,341,341
NiP,11,fnatic,16,ovp,57,352,183
fnatic,16,NiP,7,cch,62.6,183,352
mousesports,16,fnatic,8,ovp,52.8,341,183
fnatic,13,mousesports,16,d2,undefined,183,341
Immortals,8,Cloud9,16,ovp,,183,84
Cloud9,28,Immortals,24,mrg,62.4,84,84
Liquid,14,Cloud9,16,d2,undefined,455,84
Cloud9,14,Liquid,16,trn,67.6,84,455
Immortals,19,OpTic,15,ovp,,84,156
OpTic,16,Immortals,11,trn,52.1,156,156
Astralis,14,Envy,16,d2,undefined,1000,156
Immortals,16,Liquid,12,mrg,,1000,455
Liquid,16,Immortals,12,trn,56.1,455,455
Dignitas,16,Natus Vincere,4,mrg,,455,558
mousesports,16,Heroic,4,ovp,52.8,341,117
Natus Vincere,8,Dignitas,16,cbl,53.6,558,117
Heroic,14,mousesports,16,mrg,55,117,341
fnatic,16,Envy,8,d2,undefined,183,341
FlipSid3,7,NiP,16,nuke,,183,352
Envy,16,fnatic,14,cbl,,183,183
NiP,16,FlipSid3,1,ovp,57,352,183
mousesports,25,Virtus.pro,28,cbl,51.1,341,183
fnatic,16,NiP,9,cch,62.6,183,352
NiP,14,fnatic,16,d2,undefined,352,183
Virtus.pro,8,mousesports,16,mrg,,352,341
FlipSid3,9,Heroic,16,ovp,,352,117
Heroic,7,FlipSid3,16,trn,49.6,117,117
OpTic,14,Virtus.pro,16,cbl,55.2,156,117
SK,16,Virtus.pro,8,trn,,156,117
Astralis,12,OpTic,16,ovp,66.7,1000,156
Natus Vincere,16,SK,6,mrg,63,558,156
OpTic,16,G2,7,cch,57.6,156,67
Liquid,8,Virtus.pro,16,mrg,56.7,455,67
SK,16,Astralis,13,ovp,,455,1000
Virtus.pro,9,Natus Vincere,16,trn,,455,558
G2,7,Liquid,16,trn,47,67,455
Natus Vincere,16,Liquid,9,mrg,63,558,455
SK,16,OpTic,10,trn,,558,156
G2,13,Astralis,16,d2,undefined,67,1000
Dignitas,16,Heroic,12,nuke,,67,117
Heroic,3,Dignitas,16,nuke,66.3,117,117
Astralis,14,Virtus.pro,16,mrg,69.7,1000,117
Virtus.pro,16,Astralis,14,nuke,,1000,1000
Astralis,16,Dignitas,6,cch,58.5,1000,1000
Dignitas,10,Astralis,16,mrg,,1000,1000
Virtus.pro,16,FlipSid3,5,trn,,1000,1000
FlipSid3,16,Virtus.pro,5,cbl,,1000,1000
FaZe,19,Dignitas,17,ovp,61.2,451,1000
Dignitas,4,FaZe,16,cch,,451,451
Envy,10,Virtus.pro,16,mrg,,451,451
Immortals,16,SK,4,mrg,,451,451
SK,11,Immortals,16,ovp,,451,451
Virtus.pro,9,Natus Vincere,16,trn,,451,558
Natus Vincere,3,Virtus.pro,16,cbl,53.6,558,558
SK,16,Echo Fox,11,d2,,558,558
Echo Fox,12,SK,16,ovp,,558,558
Echo Fox,11,OpTic,16,trn,,558,156
OpTic,16,Echo Fox,5,d2,undefined,156,156
Heroic,16,G2,12,trn,49.6,117,67
G2,19,Heroic,16,ovp,50.5,67,117
FlipSid3,5,Envy,16,cbl,,67,117
Envy,16,FlipSid3,4,nuke,,67,117
Echo Fox,8,Cloud9,16,d2,,67,84
Cloud9,12,Echo Fox,16,d2,undefined,84,84
NiP,16,G2,5,ovp,57,352,67
G2,10,NiP,16,mrg,47.3,67,352
Natus Vincere,13,mousesports,16,d2,undefined,558,341
mousesports,8,Natus Vincere,16,ovp,52.8,341,558
Cloud9,16,FaZe,8,trn,67.6,84,451
Virtus.pro,16,Heroic,6,trn,,84,117
Dignitas,11,FaZe,16,d2,,84,451
Heroic,34,Envy,31,mrg,55,117,451
Cloud9,16,FlipSid3,4,trn,67.6,84,451
Virtus.pro,16,Gambit,12,cbl,,84,60
Natus Vincere,11,NiP,16,d2,undefined,558,352
NiP,8,Natus Vincere,16,ovp,57,352,558
Envy,9,mousesports,16,mrg,,352,341
mousesports,16,Envy,9,d2,undefined,341,341
Astralis,16,NiP,7,ovp,66.7,1000,352
NiP,16,Astralis,14,d2,undefined,352,1000
Immortals,12,OpTic,16,cch,,352,156
OpTic,13,Immortals,16,cbl,55.2,156,156
Dignitas,16,G2,14,d2,,156,67
G2,16,Dignitas,13,cbl,55.7,67,67
mousesports,16,FaZe,3,mrg,61.8,341,451
FaZe,6,mousesports,16,d2,undefined,451,341
Envy,16,Virtus.pro,8,cbl,,451,341
Natus Vincere,16,Astralis,19,d2,undefined,558,1000
G2,16,FaZe,10,d2,undefined,67,451
NiP,16,GODSENT,5,ovp,57,352,451
Envy,8,Cloud9,16,cbl,,352,84
Astralis,13,Heroic,16,trn,63.6,1000,117
FaZe,16,FlipSid3,2,trn,57.5,451,117
GODSENT,16,Dignitas,3,mrg,,451,117
NiP,16,mousesports,5,cch,60.1,352,341
mousesports,13,NiP,16,cbl,51.1,341,352
Natus Vincere,16,FlipSid3,7,ovp,64.3,558,352
FlipSid3,12,Natus Vincere,16,trn,,558,558
G2,16,mousesports,6,d2,undefined,67,341
mousesports,16,G2,11,cch,60.5,341,67
Virtus.pro,7,Dignitas,16,mrg,,341,67
Dignitas,7,Virtus.pro,16,d2,,341,67
Astralis,16,FaZe,11,mrg,69.7,1000,451
FaZe,19,Astralis,16,d2,undefined,451,1000
SK,13,Liquid,16,mrg,,451,455
Liquid,16,SK,10,cbl,64,455,455
G2,16,FlipSid3,6,trn,47,67,455
FlipSid3,12,G2,16,nuke,,67,67
Heroic,13,Dignitas,16,mrg,55,117,67
FaZe,12,NiP,16,cch,54.6,451,352
Envy,3,Astralis,16,trn,,451,1000
Astralis,14,Envy,16,mrg,69.7,1000,1000
NiP,16,FaZe,3,cch,60.1,352,451
Dignitas,16,FlipSid3,9,ovp,,352,451
FlipSid3,5,Dignitas,16,cbl,,352,451
Dignitas,14,mousesports,16,mrg,,352,341
Envy,6,NiP,16,nuke,,352,352
mousesports,16,Dignitas,14,cbl,51.1,341,352
NiP,15,Envy,19,d2,undefined,352,352
Astralis,16,FlipSid3,12,trn,63.6,1000,352
FlipSid3,6,Astralis,16,ovp,,1000,1000
Dignitas,16,NiP,10,d2,,1000,352
NiP,16,Dignitas,8,nuke,77.2,352,352
G2,6,Envy,16,nuke,62.1,67,352
Envy,16,G2,14,trn,,67,67
FaZe,16,G2,12,ovp,61.2,451,67
G2,12,FaZe,16,cch,56.2,67,451
Natus Vincere,16,Astralis,6,mrg,63,558,1000
Astralis,7,Natus Vincere,16,trn,63.6,1000,558
OpTic,20,Liquid,22,cbl,55.2,156,455
Liquid,16,OpTic,3,mrg,56.7,455,156
Envy,10,FaZe,16,mrg,,455,451
FaZe,6,Envy,16,cch,54.6,451,451
G2,11,Natus Vincere,16,trn,47,67,558
Natus Vincere,16,G2,12,d2,undefined,558,67
Immortals,14,Cloud9,16,ovp,,558,84
Cloud9,16,Immortals,5,cbl,64.4,84,84
Virtus.pro,5,FaZe,16,mrg,,84,451
FaZe,16,Virtus.pro,8,trn,57.5,451,451
Liquid,10,Cloud9,16,d2,undefined,455,84
Cloud9,16,Liquid,8,cbl,64.4,84,455
NiP,17,Virtus.pro,19,ovp,57,352,455
Virtus.pro,8,NiP,16,nuke,,352,352
G2,13,fnatic,16,trn,47,67,183
SK,16,FaZe,6,cbl,,67,451
Envy,12,mousesports,16,trn,,67,341
Liquid,12,Virtus.pro,16,cbl,64,455,341
Natus Vincere,16,NiP,12,cbl,53.6,558,352
Astralis,6,Gambit,16,d2,undefined,1000,60
fnatic,14,FaZe,16,d2,undefined,183,451
SK,16,G2,11,cbl,,183,67
Virtus.pro,16,mousesports,10,trn,,183,341
Liquid,16,Envy,7,trn,56.1,455,341
NiP,16,OpTic,4,d2,undefined,352,156
Astralis,16,Dignitas,12,ovp,66.7,1000,156
Gambit,9,Virtus.pro,16,trn,51.8,60,156
