Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
Astralis,15,Liquid,19,inf,71.9,1000,455
G2,4,MIBR,16,inf,51.2,67,424
Natus Vincere,16,NiP,6,trn,65,558,352
TYLOO,10,HellRaisers,16,ovp,65.8,88,129
Vega Squadron,14,fnatic,16,inf,47.6,101,183
mousesports,6,MIBR,16,d2,undefined,341,424
Natus Vincere,16,FaZe,12,ovp,64.3,558,451
NiP,10,Liquid,16,mrg,55.7,352,455
Vega Squadron,4,Astralis,16,inf,47.6,101,1000
BIG,16,TYLOO,7,trn,53.8,221,88
Natus Vincere,14,Astralis,16,inf,53.9,558,1000
mousesports,12,NiP,16,mrg,61.8,341,352
MIBR,13,TYLOO,16,inf,70,424,88
FaZe,5,BIG,16,d2,undefined,451,221
G2,22,HellRaisers,20,d2,undefined,67,129
BIG,16,Gambit,8,nuke,55,221,60
HellRaisers,25,OpTic,23,trn,49,129,156
TYLOO,16,Renegades,10,inf,59,88,109
North,16,Virtus.pro,6,mrg,60,280,109
TYLOO,26,OpTic,28,inf,59,88,156
Gambit,14,HellRaisers,16,ovp,58.1,60,129
Astralis,26,NiP,28,mrg,69.7,1000,352
OpTic,16,Virtus.pro,13,mrg,58.7,156,352
Renegades,10,Gambit,16,trn,52.9,109,60
Liquid,16,HellRaisers,9,inf,63.6,455,129
NiP,16,TYLOO,12,trn,68.3,352,88
Liquid,16,OpTic,4,mrg,56.7,455,156
North,17,HellRaisers,19,ovp,57.8,280,129
BIG,16,Renegades,6,ovp,53.5,221,109
Gambit,17,TYLOO,19,inf,54,60,88
Virtus.pro,5,NiP,16,mrg,,60,352
MIBR,16,HellRaisers,11,d2,undefined,424,129
fnatic,6,OpTic,16,trn,58,183,156
mousesports,16,Gambit,7,nuke,57,341,60
NRG,13,NiP,16,trn,53.8,306,352
North,16,TYLOO,7,inf,57.6,280,88
OpTic,16,ENCE,13,trn,52.1,156,149
fnatic,16,North,14,inf,67.2,183,280
Renegades,13,MIBR,16,cch,61.9,109,424
mousesports,16,Gambit,8,d2,undefined,341,60
NiP,3,Cloud9,16,inf,60.3,352,84
AGO,22,Red Reserve,20,trn,,352,84
Virtus.pro,16,Gambit,11,trn,,352,60
NRG,16,FaZe,8,cch,45.7,306,451
Astralis,16,Liquid,6,inf,71.9,1000,455
fnatic,14,Liquid,16,cch,62.6,183,455
Astralis,16,Cloud9,13,inf,71.9,1000,84
Gambit,8,GODSENT,16,trn,51.8,60,84
GODSENT,16,AGO,11,ovp,,60,84
SK,19,NiP,16,inf,,60,352
Space Soldiers,16,Renegades,7,inf,,60,109
Cloud9,3,FaZe,16,cch,61.6,84,451
Virtus.pro,10,NiP,16,mrg,,84,352
NiP,12,G2,16,inf,60.3,352,67
G2,16,NiP,10,mrg,47.3,67,352
Liquid,19,SK,22,inf,63.6,455,352
SK,16,Liquid,12,trn,,455,455
GODSENT,13,FaZe,16,cch,,455,451
FaZe,14,GODSENT,16,mrg,62.8,451,451
NiP,12,FaZe,16,inf,60.3,352,451
GODSENT,16,fnatic,14,ovp,,352,183
Gambit,10,Astralis,16,trn,51.8,60,1000
FaZe,18,NiP,22,ovp,61.2,451,352
fnatic,16,GODSENT,14,mrg,61.4,183,352
Astralis,16,Gambit,6,ovp,66.7,1000,60
Gambit,19,mousesports,17,trn,51.8,60,341
mousesports,14,Gambit,16,mrg,61.8,341,60
mousesports,16,G2,11,inf,49.1,341,67
G2,16,mousesports,7,cch,56.2,67,341
NRG,17,Astralis,19,ovp,63.5,306,1000
Renegades,3,SK,16,cch,61.9,109,1000
SK,19,Renegades,15,trn,,109,109
Astralis,11,NiP,16,ovp,66.7,1000,352
North,11,HellRaisers,16,trn,59.6,280,129
Envy,13,mousesports,16,ovp,,280,341
G2,16,Natus Vincere,9,cbl,55.7,67,558
Space Soldiers,8,FaZe,16,trn,,67,451
HellRaisers,16,North,19,cbl,56.2,129,280
GODSENT,16,Virtus.pro,5,trn,,129,280
Natus Vincere,16,G2,13,mrg,63,558,67
NiP,16,Astralis,8,mrg,55.7,352,1000
mousesports,16,Envy,11,cbl,51.1,341,1000
FaZe,16,Space Soldiers,5,inf,62.3,451,1000
fnatic,9,G2,16,mrg,61.4,183,67
G2,16,fnatic,10,ovp,50.5,67,183
fnatic,13,Natus Vincere,16,cbl,65.2,183,558
NiP,16,mousesports,9,trn,68.3,352,341
Natus Vincere,25,fnatic,22,trn,65,558,183
mousesports,17,NiP,19,inf,49.1,341,352
Envy,16,Astralis,14,trn,,341,1000
Astralis,16,Envy,3,inf,71.9,1000,1000
G2,16,FaZe,11,ovp,50.5,67,451
FaZe,19,G2,16,mrg,62.8,451,67
G2,20,Astralis,22,mrg,47.3,67,1000
Space Soldiers,11,mousesports,16,inf,,67,341
mousesports,16,Space Soldiers,14,mrg,61.8,341,341
Astralis,16,G2,10,inf,71.9,1000,67
Heroic,16,Envy,13,cbl,53.4,117,67
Envy,14,Heroic,16,trn,,117,117
Gambit,16,Space Soldiers,7,trn,51.8,60,117
Astralis,16,Space Soldiers,2,inf,71.9,1000,117
Liquid,16,Gambit,7,cbl,64,455,60
Natus Vincere,16,Renegades,4,inf,53.9,558,109
Cloud9,22,G2,20,mrg,62.4,84,67
SK,13,NiP,16,trn,,84,352
Cloud9,19,Renegades,17,mrg,62.4,84,109
Renegades,9,Cloud9,16,inf,58.6,109,84
mousesports,16,Virtus.pro,3,inf,49.1,341,84
Virtus.pro,10,mousesports,16,trn,,341,341
NiP,16,North,6,inf,60.3,352,280
North,19,NiP,15,nuke,58.3,280,352
Renegades,9,Cloud9,16,inf,58.6,109,84
Cloud9,17,Renegades,19,trn,67.6,84,109
HellRaisers,8,Space Soldiers,16,inf,54.8,129,109
Space Soldiers,16,HellRaisers,6,cbl,,129,129
Astralis,11,Natus Vincere,16,inf,71.9,1000,558
Natus Vincere,19,Astralis,16,trn,65,558,1000
Gambit,5,FaZe,16,nuke,54.5,60,451
FaZe,16,Gambit,2,mrg,62.8,451,60
G2,10,HellRaisers,16,inf,51.2,67,129
FaZe,5,fnatic,16,ovp,61.2,451,183
fnatic,9,FaZe,16,inf,67.2,183,451
HellRaisers,7,G2,16,mrg,49.5,129,67
Renegades,19,NRG,17,inf,58.6,109,306
NRG,5,Renegades,16,trn,53.8,306,109
Gambit,10,G2,16,mrg,52.5,60,67
